At0,At1,At2,At3,At4,At5,At6,At7,At8,At9,At11,At19,At20,At21,At22,At23,At24,At25,At26,At27,At34,Class
4,0,2,1,1,1,0,1,0,2,1,0,3,1,1,1,0,0,0,0,0,1
5,0,2,1,0,3,1,1,1,2,1,1,3,0,1,1,0,0,0,0,0,1
3,0,2,1,0,2,0,2,1,1,1,0,3,0,1,1,0,0,0,0,0,1
6,0,2,1,0,1,1,1,0,0,1,1,3,1,1,1,0,0,0,0,0,1
4,0,2,1,0,3,0,2,0,2,1,0,3,1,1,1,0,0,0,0,0,1
5,0,2,1,0,2,0,1,1,0,1,1,3,1,1,1,0,0,0,0,0,1
3,0,2,1,0,2,1,1,0,1,1,1,3,0,1,1,0,0,0,0,0,1
3,0,2,1,0,1,0,2,1,2,1,0,3,0,1,1,0,0,0,0,0,1
6,0,2,1,0,3,0,1,1,1,1,0,3,1,1,1,0,0,0,0,0,1
6,0,2,1,0,1,0,1,0,2,1,0,3,1,1,1,0,0,0,0,0,1
6,0,0,2,1,0,2,1,0,0,1,1,0,3,0,0,0,2,1,0,0,2
4,0,0,1,0,2,3,1,1,1,1,0,0,3,0,0,0,2,1,0,0,2
5,0,0,2,0,3,2,1,0,2,1,0,0,3,0,0,0,2,1,0,0,2
6,0,0,1,1,3,3,1,1,0,1,0,0,3,0,0,0,2,1,0,0,2
3,0,0,2,1,0,2,1,0,1,1,0,0,3,0,0,0,2,1,0,0,2
4,0,0,1,1,1,3,1,1,1,1,1,0,3,0,0,0,2,1,0,0,2
3,0,0,1,0,1,2,1,0,0,1,0,0,3,0,0,0,2,1,0,0,2
5,0,0,2,1,2,2,1,0,2,1,1,0,3,0,0,0,2,1,0,0,2
6,0,0,2,0,1,3,1,1,0,1,0,0,3,0,0,0,2,1,0,0,2
5,0,0,2,1,3,3,1,1,2,1,0,0,3,0,0,0,2,1,0,0,2
0,1,2,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,3,0,3
2,1,2,0,0,3,1,2,0,1,0,0,1,1,0,1,0,0,0,3,0,3
2,1,2,0,0,2,1,1,0,2,0,0,1,1,0,1,1,0,0,3,0,3
0,1,2,0,0,0,1,1,1,2,0,0,1,1,0,1,0,0,0,3,0,3
0,1,2,0,0,2,1,1,1,1,0,0,1,1,0,1,0,0,0,3,0,3
4,0,2,0,1,0,1,2,0,2,1,1,1,1,0,1,1,0,0,3,0,3
2,1,2,0,0,3,1,2,0,2,0,0,1,1,0,1,1,0,0,3,0,3
0,1,2,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,1,3
3,0,2,0,1,3,1,2,0,1,0,1,1,1,0,1,1,0,0,3,0,3
0,1,2,0,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,3,0,3
2,1,2,1,1,3,1,2,1,2,1,0,2,2,0,1,0,0,0,3,1,4
0,1,1,1,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,3,1,4
3,1,2,0,0,1,1,2,1,0,1,0,2,2,0,0,0,0,0,3,1,4
2,1,2,1,1,1,1,2,0,2,1,0,1,2,0,1,0,0,0,3,1,4
1,1,2,0,0,3,1,1,1,2,1,0,2,2,0,0,0,0,0,3,1,4
1,1,2,1,0,0,1,2,1,1,1,0,2,2,0,0,0,0,0,3,1,4
0,1,2,1,0,3,1,1,0,0,1,0,1,2,0,0,0,0,0,3,1,4
2,1,2,0,0,1,1,2,0,0,1,0,1,2,0,0,0,0,0,3,1,4
3,1,2,0,0,2,1,2,1,1,1,0,2,2,0,0,0,0,0,3,1,4
3,1,1,0,0,2,1,2,1,2,1,0,2,2,0,0,0,0,0,3,1,4
0,1,2,1,1,1,1,1,0,0,1,0,1,2,0,1,0,0,0,3,1,4
1,1,2,1,1,3,1,2,0,1,1,1,1,2,0,1,0,0,0,3,1,4
1,1,2,0,0,0,1,2,1,0,1,0,2,2,0,0,0,0,0,3,1,4
1,1,2,1,1,2,3,1,1,1,1,0,2,2,0,1,0,0,0,3,1,4
2,1,1,0,0,3,1,2,0,2,1,0,1,2,0,0,0,0,0,3,1,4
0,1,1,1,1,2,1,2,1,0,1,1,2,2,0,1,0,0,0,3,1,4
0,1,2,1,0,3,1,1,0,2,1,0,1,2,0,0,0,0,0,3,1,4
